Site,Date,Turbidity(NTU) at 12AM,Turbidity(NTU) at 4AM,Turbidity(NTU) at 8AM,Turbidity(NTU) at 12PM,Turbidity(NTU) at 4PM,Turbidity(NTU) at 8PM,Average 24hrTurbidity(NTU),"Coliform, Fecal(fc/100mL)"
DEL18DT,2016-12-15T00:00:00.000,0.65,0.65,0.65,0.6,0.65,0.6,0.63,<1
DEL18DT,2016-12-14T00:00:00.000,0.65,0.65,0.6,0.65,0.6,0.65,0.63,<1
DEL18DT,2016-12-13T00:00:00.000,0.6,0.65,0.65,0.65,0.65,0.65,0.64,<1
DEL18DT,2016-12-12T00:00:00.000,0.6,0.55,0.6,0.7,0.6,0.6,0.61,<1
DEL18DT,2016-12-11T00:00:00.000,0.65,0.6,0.65,0.5,0.6,0.6,0.6,<1
DEL18DT,2016-12-10T00:00:00.000,0.65,0.65,0.65,0.55,0.6,0.6,0.62,2
DEL18DT,2016-12-09T00:00:00.000,0.65,0.65,0.65,0.65,0.65,0.65,0.65,<1
DEL18DT,2016-12-08T00:00:00.000,0.65,0.6,0.6,0.75,0.65,0.65,0.65,<1
DEL18DT,2016-12-07T00:00:00.000,0.65,0.65,0.8,0.65,0.6,0.6,0.66,1
DEL18DT,2016-12-06T00:00:00.000,0.6,0.65,0.65,0.75,0.7,0.75,0.68,2
DEL18DT,2016-12-05T00:00:00.000,0.6,0.65,0.6,0.6,0.55,0.65,0.61,1
DEL18DT,2016-12-04T00:00:00.000,0.65,0.6,0.6,0.65,0.7,0.65,0.64,<1
DEL18DT,2016-12-03T00:00:00.000,0.65,0.65,0.65,0.6,0.6,0.65,0.63,<1
DEL18DT,2016-12-02T00:00:00.000,0.6,0.7,0.6,0.6,0.65,0.65,0.63,<1
DEL18DT,2016-12-01T00:00:00.000,0.75,0.65,0.65,0.7,0.6,0.6,0.66,2
DEL18DT,2016-11-30T00:00:00.000,0.7,0.65,0.65,0.6,0.6,0.55,0.63,<1
DEL18DT,2016-11-29T00:00:00.000,0.65,0.6,0.65,0.55,0.65,0.65,0.63,<1
DEL18DT,2016-11-28T00:00:00.000,0.6,0.6,0.6,0.6,0.65,0.5,0.59,1
DEL18DT,2016-11-27T00:00:00.000,0.6,0.6,0.6,0.6,0.55,0.6,0.59,1
DEL18DT,2016-11-26T00:00:00.000,0.6,0.6,0.6,0.6,0.6,0.6,0.6,2
DEL18DT,2016-11-25T00:00:00.000,0.6,0.55,0.5,0.5,0.6,0.6,0.56,1
DEL18DT,2016-11-24T00:00:00.000,0.6,0.6,0.55,0.5,0.55,0.55,0.56,<1
DEL18DT,2016-11-23T00:00:00.000,0.6,0.6,0.65,0.5,0.6,0.65,0.6,1
DEL18DT,2016-11-22T00:00:00.000,0.6,0.65,0.65,0.6,0.6,0.65,0.63,1
DEL18DT,2016-11-21T00:00:00.000,0.65,0.6,0.65,0.6,0.6,0.65,0.63,1
DEL18DT,2016-11-20T00:00:00.000,0.6,0.65,0.6,0.5,0.55,0.7,0.6,<1
DEL18DT,2016-11-19T00:00:00.000,0.6,0.6,0.65,0.6,0.6,0.6,0.61,1
DEL18DT,2016-11-18T00:00:00.000,0.6,0.6,0.65,0.7,0.65,0.6,0.63,<1
DEL18DT,2016-11-17T00:00:00.000,0.6,0.55,0.6,0.6,0.65,0.65,0.61,2
DEL18DT,2016-11-16T00:00:00.000,0.55,0.6,0.6,0.55,0.6,0.65,0.59,<1
DEL18DT,2016-11-15T00:00:00.000,0.65,0.65,0.7,0.6,0.55,0.65,0.63,1
DEL18DT,2016-11-14T00:00:00.000,0.65,0.65,0.8,0.7,0.65,0.65,0.68,1
DEL18DT,2016-11-13T00:00:00.000,0.6,0.6,0.6,0.65,0.6,0.65,0.62,<1
DEL18DT,2016-11-12T00:00:00.000,0.65,0.65,0.7,0.6,0.6,0.6,0.63,<1
DEL18DT,2016-11-11T00:00:00.000,0.65,0.6,0.65,0.65,0.7,0.75,0.67,<1
DEL18DT,2016-11-10T00:00:00.000,0.65,0.6,0.6,0.65,0.6,0.6,0.62,1
DEL18DT,2016-11-09T00:00:00.000,0.65,0.6,0.6,0.6,0.5,0.6,0.59,1
DEL18DT,2016-11-08T00:00:00.000,0.6,0.55,0.55,0.6,0.6,0.6,0.58,1
DEL18DT,2016-11-07T00:00:00.000,0.55,0.6,0.6,0.6,0.5,0.55,0.57,<1
DEL18DT,2016-11-06T00:00:00.000,0.6,0.6,0.6,0.55,0.6,0.55,0.58,3
DEL18DT,2016-11-05T00:00:00.000,0.65,0.6,0.6,0.6,0.6,0.65,0.62,<1
DEL18DT,2016-11-04T00:00:00.000,0.6,0.65,0.6,0.6,0.6,0.65,0.62,<1
DEL18DT,2016-11-03T00:00:00.000,0.65,0.6,0.6,0.55,0.6,0.7,0.62,1
DEL18DT,2016-11-02T00:00:00.000,0.5,0.6,0.6,0.65,0.7,0.65,0.62,1
DEL18DT,2016-11-01T00:00:00.000,0.65,0.6,0.65,0.55,0.55,0.55,0.59,<1
DEL18DT,2016-10-31T00:00:00.000,0.6,0.55,0.6,0.6,0.6,0.7,0.61,2
DEL18DT,2016-10-30T00:00:00.000,0.6,0.65,0.6,0.65,0.6,0.6,0.62,1
DEL18DT,2016-10-29T00:00:00.000,0.6,0.55,0.55,0.55,0.55,0.6,0.57,3
DEL18DT,2016-10-28T00:00:00.000,0.55,0.55,0.55,0.6,0.6,0.7,0.59,3
DEL18DT,2016-10-27T00:00:00.000,0.65,0.7,0.7,0.65,0.55,0.6,0.64,1
DEL18DT,2016-10-26T00:00:00.000,0.6,0.55,0.6,0.65,0.65,0.55,0.6,2
DEL18DT,2016-10-25T00:00:00.000,0.6,0.55,0.6,0.5,0.55,0.6,0.57,1
DEL18DT,2016-10-24T00:00:00.000,0.65,0.55,0.55,0.6,0.55,0.6,0.58,1
DEL18DT,2016-10-23T00:00:00.000,0.5,0.45,0.5,0.6,0.55,0.55,0.53,5
DEL18DT,2016-10-22T00:00:00.000,0.65,0.7,0.6,0.6,0.55,0.5,0.6,1
DEL18DT,2016-10-21T00:00:00.000,0.7,0.75,0.65,0.65,0.6,0.65,0.67,<1
DEL18DT,2016-10-20T00:00:00.000,0.65,0.65,0.65,0.75,0.75,0.75,0.7,<1
DEL18DT,2016-10-19T00:00:00.000,0.8,0.7,0.7,0.6,0.6,0.65,0.68,1
DEL18DT,2016-10-18T00:00:00.000,0.65,0.6,0.6,0.6,0.55,0.75,0.63,4
DEL18DT,2016-10-17T00:00:00.000,0.6,0.6,0.65,0.7,0.65,0.7,0.65,<1
DEL18DT,2016-10-16T00:00:00.000,0.65,0.65,0.65,0.65,0.7,0.65,0.66,<1
DEL18DT,2016-10-15T00:00:00.000,0.65,0.7,0.65,0.65,0.7,0.7,0.68,1
DEL18DT,2016-10-14T00:00:00.000,0.65,0.65,0.65,0.75,0.65,0.65,0.67,<1
DEL18DT,2016-10-13T00:00:00.000,0.75,0.7,0.8,0.65,0.65,0.65,0.7,<1
DEL18DT,2016-10-12T00:00:00.000,0.65,0.75,0.85,0.8,0.75,0.7,0.75,1
DEL18DT,2016-10-11T00:00:00.000,0.75,0.75,0.8,0.7,0.75,0.75,0.75,<1
DEL18DT,2016-10-10T00:00:00.000,0.75,0.7,0.7,0.8,0.75,0.75,0.74,1
DEL18DT,2016-10-09T00:00:00.000,0.85,0.8,0.85,0.85,0.85,0.8,0.83,3
DEL18DT,2016-10-08T00:00:00.000,0.8,0.85,0.8,0.85,0.85,0.85,0.83,1
DEL18DT,2016-10-07T00:00:00.000,0.8,0.8,0.8,0.75,0.8,0.8,0.79,<1
DEL18DT,2016-10-06T00:00:00.000,0.65,0.65,0.75,0.7,0.75,0.75,0.71,<1
DEL18DT,2016-10-05T00:00:00.000,0.65,0.65,0.7,0.65,0.7,0.7,0.68,<1
DEL18DT,2016-10-04T00:00:00.000,0.8,0.7,0.75,0.7,0.7,0.65,0.72,3
DEL18DT,2016-10-03T00:00:00.000,0.75,0.75,0.85,0.75,0.85,0.85,0.8,<1
DEL18DT,2016-10-02T00:00:00.000,0.75,0.75,0.75,0.7,0.65,0.8,0.73,1
DEL18DT,2016-10-01T00:00:00.000,0.7,0.7,0.7,0.75,0.75,0.7,0.72,1
DEL18DT,2016-09-30T00:00:00.000,0.75,0.75,0.8,0.65,0.85,0.8,0.77,<1
DEL18DT,2016-09-29T00:00:00.000,0.75,0.75,0.75,0.75,0.7,0.75,0.74,1
DEL18DT,2016-09-28T00:00:00.000,0.75,0.75,0.7,0.75,0.75,0.75,0.74,1
DEL18DT,2016-09-27T00:00:00.000,0.85,0.85,0.9,0.8,0.8,0.8,0.83,1
DEL18DT,2016-09-26T00:00:00.000,0.65,0.7,0.8,0.7,0.8,0.85,0.75,<1
DEL18DT,2016-09-25T00:00:00.000,0.75,0.7,0.75,0.6,0.8,0.7,0.72,1
DEL18DT,2016-09-24T00:00:00.000,0.85,0.75,0.75,0.7,0.75,0.75,0.76,<1
DEL18DT,2016-09-23T00:00:00.000,0.8,0.7,0.65,0.8,0.85,0.9,0.78,<1
DEL18DT,2016-09-22T00:00:00.000,0.75,0.8,0.85,0.7,0.9,0.9,0.82,<1
DEL18DT,2016-09-21T00:00:00.000,0.75,0.75,0.9,0.9,0.65,0.75,0.78,1
DEL18DT,2016-09-20T00:00:00.000,0.8,0.75,0.8,0.65,0.65,0.7,0.73,<1
DEL18DT,2016-09-19T00:00:00.000,0.85,0.8,0.75,0.75,0.75,0.75,0.78,<1
DEL18DT,2016-09-18T00:00:00.000,0.9,0.8,0.85,0.9,0.85,0.75,0.84,1
DEL18DT,2016-09-17T00:00:00.000,0.85,0.9,0.8,0.8,0.9,1,0.88,<1
DEL18DT,2016-09-16T00:00:00.000,0.75,0.75,0.75,0.7,0.75,0.8,0.75,<1
DEL18DT,2016-09-15T00:00:00.000,0.8,0.75,0.7,0.7,0.7,0.7,0.73,2
DEL18DT,2016-09-14T00:00:00.000,0.95,0.8,0.85,0.8,0.8,0.85,0.84,1
DEL18DT,2016-09-13T00:00:00.000,0.85,0.85,0.8,0.8,0.95,0.95,0.87,<1
DEL18DT,2016-09-12T00:00:00.000,0.75,0.75,0.75,0.8,0.8,0.9,0.79,<1
DEL18DT,2016-09-11T00:00:00.000,0.85,0.8,0.75,0.9,0.9,0.8,0.83,<1
DEL18DT,2016-09-10T00:00:00.000,0.95,0.8,0.8,0.75,0.8,0.8,0.82,<1
DEL18DT,2016-09-09T00:00:00.000,0.75,0.8,0.8,0.8,0.8,0.8,0.79,<1
DEL18DT,2016-09-08T00:00:00.000,0.65,0.7,0.7,0.65,0.6,0.8,0.68,<1
DEL18DT,2016-09-07T00:00:00.000,0.65,0.65,0.65,0.7,0.6,0.6,0.64,1
DEL18DT,2016-09-06T00:00:00.000,0.65,0.6,0.65,0.7,0.6,0.6,0.63,<1
DEL18DT,2016-09-05T00:00:00.000,0.65,0.65,0.65,0.6,0.55,0.6,0.62,<1
DEL18DT,2016-09-04T00:00:00.000,0.65,0.65,0.65,0.65,0.65,0.6,0.64,<1
DEL18DT,2016-09-03T00:00:00.000,0.65,0.6,0.6,0.75,0.65,0.65,0.65,2
DEL18DT,2016-09-02T00:00:00.000,0.7,0.7,0.7,0.65,0.6,0.65,0.67,1
DEL18DT,2016-09-01T00:00:00.000,0.85,0.9,0.8,0.75,0.75,0.75,0.8,<1
DEL18DT,2016-08-31T00:00:00.000,0.65,0.6,0.7,0.85,0.7,0.8,0.72,<1
DEL18DT,2016-08-31T00:00:00.000,0.65,0.6,0.7,0.85,0.7,0.8,0.72,<1
DEL18DT,2016-08-30T00:00:00.000,0.7,0.7,0.75,0.75,0.7,0.65,0.71,<1
DEL18DT,2016-08-30T00:00:00.000,0.7,0.7,0.75,0.75,0.7,0.65,0.71,<1
DEL18DT,2016-08-29T00:00:00.000,0.85,0.8,0.75,0.75,0.85,0.7,0.78,1
DEL18DT,2016-08-29T00:00:00.000,0.85,0.8,0.75,0.75,0.85,0.7,0.78,1
DEL18DT,2016-08-28T00:00:00.000,0.75,0.7,0.7,0.65,0.8,0.85,0.74,1
DEL18DT,2016-08-28T00:00:00.000,0.75,0.7,0.7,0.65,0.8,0.85,0.74,1
DEL18DT,2016-08-27T00:00:00.000,0.7,0.8,0.9,0.75,0.75,0.75,0.78,1
DEL18DT,2016-08-27T00:00:00.000,0.7,0.8,0.9,0.75,0.75,0.75,0.78,1
DEL18DT,2016-08-26T00:00:00.000,0.75,0.7,0.75,0.8,0.75,0.7,0.74,<1
DEL18DT,2016-08-26T00:00:00.000,0.75,0.7,0.75,0.8,0.75,0.7,0.74,<1
DEL18DT,2016-08-25T00:00:00.000,0.8,0.8,0.75,0.8,0.8,0.75,0.78,1
DEL18DT,2016-08-25T00:00:00.000,0.8,0.8,0.75,0.8,0.8,0.75,0.78,1
DEL18DT,2016-08-24T00:00:00.000,0.7,0.8,0.75,0.75,0.7,0.8,0.75,<1
DEL18DT,2016-08-24T00:00:00.000,0.7,0.8,0.75,0.75,0.7,0.8,0.75,<1
DEL18DT,2016-08-23T00:00:00.000,0.85,0.85,0.8,0.8,0.8,0.75,0.81,<1
DEL18DT,2016-08-23T00:00:00.000,0.85,0.85,0.8,0.8,0.8,0.75,0.81,<1
DEL18DT,2016-08-22T00:00:00.000,0.7,0.75,0.8,0.8,0.85,0.8,0.78,1
DEL18DT,2016-08-22T00:00:00.000,0.7,0.75,0.8,0.8,0.85,0.8,0.78,1
DEL18DT,2016-08-21T00:00:00.000,0.75,0.8,0.8,0.7,0.8,0.75,0.77,1
DEL18DT,2016-08-21T00:00:00.000,0.75,0.8,0.8,0.7,0.8,0.75,0.77,1
DEL18DT,2016-08-20T00:00:00.000,0.85,0.8,0.75,0.8,0.8,0.8,0.8,<1
DEL18DT,2016-08-20T00:00:00.000,0.85,0.8,0.75,0.8,0.8,0.8,0.8,<1
DEL18DT,2016-08-19T00:00:00.000,0.75,0.8,0.8,0.7,0.8,0.85,0.78,1
DEL18DT,2016-08-19T00:00:00.000,0.75,0.8,0.8,0.7,0.8,0.85,0.78,1
DEL18DT,2016-08-18T00:00:00.000,0.85,0.75,0.85,0.75,0.75,0.75,0.78,1
DEL18DT,2016-08-18T00:00:00.000,0.85,0.75,0.85,0.75,0.75,0.75,0.78,1
DEL18DT,2016-08-17T00:00:00.000,0.8,0.8,0.85,0.8,0.75,0.85,0.81,<1
DEL18DT,2016-08-17T00:00:00.000,0.8,0.8,0.85,0.8,0.75,0.85,0.81,<1
DEL18DT,2016-08-16T00:00:00.000,0.65,0.75,0.75,0.75,0.75,0.85,0.75,1
DEL18DT,2016-08-16T00:00:00.000,0.65,0.75,0.75,0.75,0.75,0.85,0.75,1
DEL18DT,2016-08-15T00:00:00.000,0.8,0.8,0.75,0.8,0.85,0.85,0.81,1
DEL18DT,2016-08-15T00:00:00.000,0.8,0.8,0.75,0.8,0.85,0.85,0.81,1
DEL18DT,2016-08-14T00:00:00.000,0.9,0.8,0.8,0.85,0.85,0.9,0.85,2
DEL18DT,2016-08-14T00:00:00.000,0.9,0.8,0.8,0.85,0.85,0.9,0.85,2
DEL18DT,2016-08-13T00:00:00.000,0.75,0.8,0.8,0.85,0.85,0.95,0.83,<1
DEL18DT,2016-08-13T00:00:00.000,0.75,0.8,0.8,0.85,0.85,0.95,0.83,<1
DEL18DT,2016-08-12T00:00:00.000,0.9,0.7,0.8,0.85,0.8,0.75,0.8,<1
DEL18DT,2016-08-12T00:00:00.000,0.9,0.7,0.8,0.85,0.8,0.75,0.8,<1
DEL18DT,2016-08-11T00:00:00.000,0.8,0.85,0.8,0.8,0.8,0.85,0.82,<1
DEL18DT,2016-08-11T00:00:00.000,0.8,0.85,0.8,0.8,0.8,0.85,0.82,<1
DEL18DT,2016-08-10T00:00:00.000,0.8,0.8,0.7,0.8,0.8,0.8,0.78,1
DEL18DT,2016-08-10T00:00:00.000,0.8,0.8,0.7,0.8,0.8,0.8,0.78,1
DEL18DT,2016-08-09T00:00:00.000,0.85,0.75,0.75,0.8,0.85,0.85,0.81,<1
DEL18DT,2016-08-09T00:00:00.000,0.85,0.75,0.75,0.8,0.85,0.85,0.81,<1
DEL18DT,2016-08-08T00:00:00.000,0.75,0.75,0.7,0.7,0.85,0.75,0.75,<1
DEL18DT,2016-08-08T00:00:00.000,0.75,0.75,0.7,0.7,0.85,0.75,0.75,<1
DEL18DT,2016-08-07T00:00:00.000,0.85,0.85,0.7,0.7,0.95,0.85,0.82,<1
DEL18DT,2016-08-07T00:00:00.000,0.85,0.85,0.7,0.7,0.95,0.85,0.82,<1
DEL18DT,2016-08-06T00:00:00.000,0.65,0.75,0.75,0.85,0.9,0.85,0.79,<1
DEL18DT,2016-08-06T00:00:00.000,0.65,0.75,0.75,0.85,0.9,0.85,0.79,<1
DEL18DT,2016-08-05T00:00:00.000,0.75,0.75,0.7,0.85,0.75,0.7,0.75,2
DEL18DT,2016-08-05T00:00:00.000,0.75,0.75,0.7,0.85,0.75,0.7,0.75,2
DEL18DT,2016-08-04T00:00:00.000,0.75,0.75,0.75,0.8,0.75,0.8,0.77,<1
DEL18DT,2016-08-04T00:00:00.000,0.75,0.75,0.75,0.8,0.75,0.8,0.77,<1
DEL18DT,2016-08-03T00:00:00.000,0.75,0.7,0.75,0.85,0.8,0.7,0.76,1
DEL18DT,2016-08-03T00:00:00.000,0.75,0.7,0.75,0.85,0.8,0.7,0.76,1
DEL18DT,2016-08-02T00:00:00.000,0.75,0.7,0.8,0.7,0.75,0.75,0.74,1
DEL18DT,2016-08-02T00:00:00.000,0.75,0.7,0.8,0.7,0.75,0.75,0.74,1
DEL18DT,2016-08-01T00:00:00.000,0.7,0.75,0.75,0.65,0.65,0.7,0.7,2
DEL18DT,2016-08-01T00:00:00.000,0.7,0.75,0.75,0.65,0.65,0.7,0.7,2
DEL18DT,2016-07-31T00:00:00.000,0.85,0.85,0.8,0.65,0.6,0.6,0.73,<1
DEL18DT,2016-07-30T00:00:00.000,0.8,0.75,0.75,0.8,0.75,0.85,0.78,<1
DEL18DT,2016-07-29T00:00:00.000,0.85,0.8,0.8,0.75,0.7,0.95,0.81,2
DEL18DT,2016-07-28T00:00:00.000,0.8,0.9,0.85,0.85,0.95,1.4,0.96,<1
DEL18DT,2016-07-27T00:00:00.000,0.9,0.85,0.9,1.2,0.85,0.85,0.93,<1
DEL18DT,2016-07-26T00:00:00.000,1.1,1,1.2,0.9,0.8,0.85,0.98,<1
DEL18DT,2016-07-25T00:00:00.000,0.95,0.9,0.8,0.8,0.9,0.85,0.87,<1
DEL18DT,2016-07-24T00:00:00.000,0.85,0.9,0.75,0.8,0.9,0.95,0.86,<1
DEL18DT,2016-07-23T00:00:00.000,0.8,0.75,0.75,0.85,0.95,0.9,0.83,<1
DEL18DT,2016-07-22T00:00:00.000,0.8,0.7,0.75,0.7,0.7,0.85,0.75,<1
DEL18DT,2016-07-21T00:00:00.000,0.8,0.8,0.8,0.75,0.75,0.8,0.78,<1
DEL18DT,2016-07-20T00:00:00.000,0.75,0.75,0.8,0.8,0.7,0.7,0.75,<1
DEL18DT,2016-07-19T00:00:00.000,0.7,0.65,0.7,0.7,0.8,0.75,0.72,1
DEL18DT,2016-07-18T00:00:00.000,0.8,0.7,0.65,0.75,0.7,0.75,0.73,<1
DEL18DT,2016-07-17T00:00:00.000,0.65,0.65,0.6,0.8,0.75,0.7,0.69,1
DEL18DT,2016-07-16T00:00:00.000,0.6,0.7,0.6,0.75,0.7,0.7,0.68,2
DEL18DT,2016-07-15T00:00:00.000,0.6,0.65,1.3,0.6,0.6,0.65,0.73,2
DEL18DT,2016-07-14T00:00:00.000,0.55,0.6,0.65,0.7,0.65,0.65,0.63,<1
DEL18DT,2016-07-13T00:00:00.000,0.65,0.65,0.65,0.6,0.7,0.55,0.63,<1
DEL18DT,2016-07-12T00:00:00.000,0.6,0.6,0.65,0.6,0.65,0.65,0.63,1
DEL18DT,2016-07-11T00:00:00.000,0.65,0.7,0.65,0.7,0.6,0.7,0.67,<1
DEL18DT,2016-07-10T00:00:00.000,0.65,0.65,0.65,0.6,0.65,0.65,0.64,<1
DEL18DT,2016-07-09T00:00:00.000,0.65,0.65,0.7,0.65,0.65,0.65,0.66,1
DEL18DT,2016-07-08T00:00:00.000,0.75,0.65,0.8,0.75,0.7,0.7,0.73,<1
DEL18DT,2016-07-07T00:00:00.000,0.75,0.75,0.8,0.8,0.7,0.75,0.76,<1
DEL18DT,2016-07-06T00:00:00.000,0.8,0.65,0.65,0.9,0.75,0.75,0.75,<1
DEL18DT,2016-07-05T00:00:00.000,0.85,0.8,0.7,0.7,0.7,0.7,0.74,1
DEL18DT,2016-07-04T00:00:00.000,0.7,0.7,0.7,0.75,0.8,0.85,0.75,<1
DEL18DT,2016-07-03T00:00:00.000,0.75,0.7,0.7,0.8,0.8,0.75,0.75,<1
DEL18DT,2016-07-02T00:00:00.000,0.65,0.65,0.7,0.85,0.85,0.85,0.76,1
DEL18DT,2016-07-01T00:00:00.000,0.8,0.9,0.7,0.55,0.75,0.65,0.73,<1
DEL18DT,2016-06-30T00:00:00.000,0.65,0.8,0.75,0.8,0.9,0.85,0.79,1
DEL18DT,2016-06-29T00:00:00.000,0.8,0.75,0.8,0.8,1.1,0.65,0.82,<1
DEL18DT,2016-06-28T00:00:00.000,0.95,0.9,0.95,0.7,0.7,0.7,0.82,<1
DEL18DT,2016-06-27T00:00:00.000,0.8,0.7,0.8,0.95,0.85,1.1,0.87,<1
DEL18DT,2016-06-26T00:00:00.000,0.85,0.8,0.75,0.85,0.75,0.75,0.79,<1
DEL18DT,2016-06-25T00:00:00.000,0.8,0.75,0.7,0.8,0.75,0.8,0.77,1
DEL18DT,2016-06-24T00:00:00.000,0.8,0.8,0.85,0.65,0.7,0.75,0.76,<1
DEL18DT,2016-06-23T00:00:00.000,0.9,0.9,0.8,0.95,0.9,0.85,0.88,<1
DEL18DT,2016-06-22T00:00:00.000,0.8,0.85,1,0.85,0.85,0.9,0.88,<1
DEL18DT,2016-06-21T00:00:00.000,0.95,0.9,0.85,0.85,0.9,0.8,0.88,1
DEL18DT,2016-06-20T00:00:00.000,0.95,0.8,0.7,0.9,4.3,0.9,1.43,1
DEL18DT,2016-06-19T00:00:00.000,0.95,0.95,0.85,0.9,0.85,0.9,0.9,<1
DEL18DT,2016-06-18T00:00:00.000,0.85,0.95,0.8,0.85,1,1.1,0.93,<1
DEL18DT,2016-06-17T00:00:00.000,0.9,0.9,1.3,0.8,1,0.8,0.95,1
DEL18DT,2016-06-16T00:00:00.000,0.85,0.95,0.9,0.8,0.8,0.95,0.88,<1
DEL18DT,2016-06-15T00:00:00.000,0.8,0.85,0.8,0.9,1,0.85,0.87,1
DEL18DT,2016-06-14T00:00:00.000,0.75,0.8,0.8,0.95,0.9,0.8,0.83,2
DEL18DT,2016-06-13T00:00:00.000,0.8,0.85,0.8,0.7,0.85,0.75,0.79,<1
DEL18DT,2016-06-12T00:00:00.000,0.8,0.75,0.75,0.95,0.85,0.85,0.83,1
DEL18DT,2016-06-11T00:00:00.000,0.6,0.7,0.8,0.75,0.8,0.8,0.74,1
DEL18DT,2016-06-10T00:00:00.000,0.85,0.75,0.75,0.75,0.75,0.7,0.76,<1
DEL18DT,2016-06-09T00:00:00.000,0.8,0.7,0.7,0.7,0.75,0.8,0.74,<1
DEL18DT,2016-06-08T00:00:00.000,0.7,0.75,0.65,0.7,0.7,0.7,0.7,3
DEL18DT,2016-06-07T00:00:00.000,0.7,0.7,0.65,0.6,0.75,0.85,0.71,<1
DEL18DT,2016-06-06T00:00:00.000,0.8,0.7,0.75,0.65,0.65,0.7,0.71,<1
DEL18DT,2016-06-05T00:00:00.000,0.75,0.8,0.8,1,0.65,0.7,0.78,<1
DEL18DT,2016-06-04T00:00:00.000,0.65,0.65,0.7,0.7,0.75,0.7,0.69,<1
DEL18DT,2016-06-03T00:00:00.000,0.8,0.6,0.75,0.65,0.65,0.7,0.69,<1
DEL18DT,2016-06-02T00:00:00.000,0.65,0.7,0.65,0.7,0.7,0.75,0.69,<1
DEL18DT,2016-06-01T00:00:00.000,0.7,0.85,0.75,,0.9,0.65,0.77,
DEL18DT,2016-05-31T00:00:00.000,0.95,0.8,0.75,0.8,0.75,0.75,0.8,2
DEL18DT,2016-05-30T00:00:00.000,0.7,0.8,0.75,0.7,0.75,0.7,0.73,1
DEL18DT,2016-05-29T00:00:00.000,0.7,0.75,0.75,0.8,0.75,0.85,0.77,<1
DEL18DT,2016-05-28T00:00:00.000,0.75,0.8,0.7,0.75,0.75,0.8,0.76,<1
DEL18DT,2016-05-27T00:00:00.000,0.8,0.75,0.7,0.7,0.75,0.75,0.74,1
DEL18DT,2016-05-26T00:00:00.000,0.85,0.85,0.85,0.7,0.75,0.8,0.8,1
DEL18DT,2016-05-25T00:00:00.000,0.75,0.7,0.75,0.85,0.9,0.7,0.78,<1
DEL18DT,2016-05-24T00:00:00.000,0.8,0.85,0.7,0.8,0.8,0.75,0.78,1
DEL18DT,2016-05-23T00:00:00.000,0.8,0.7,0.8,0.7,0.75,0.7,0.74,1
DEL18DT,2016-05-22T00:00:00.000,0.75,0.7,0.75,0.75,0.7,0.75,0.73,<1
DEL18DT,2016-05-21T00:00:00.000,0.85,0.8,0.8,0.8,0.75,0.8,0.8,<1
DEL18DT,2016-05-20T00:00:00.000,0.8,0.75,0.8,0.75,0.85,0.65,0.77,1
DEL18DT,2016-05-19T00:00:00.000,0.7,0.75,0.7,0.65,0.8,0.75,0.73,<1
DEL18DT,2016-05-18T00:00:00.000,0.7,0.75,0.75,0.8,0.75,0.85,0.77,<1
DEL18DT,2016-05-17T00:00:00.000,0.9,0.8,0.75,0.8,0.65,0.75,0.78,<1
DEL18DT,2016-05-16T00:00:00.000,0.75,0.75,0.7,0.6,0.85,0.8,0.74,<1
DEL18DT,2016-05-15T00:00:00.000,0.95,0.8,0.85,0.85,0.75,0.85,0.84,<1
DEL18DT,2016-05-14T00:00:00.000,0.8,0.8,0.75,0.75,0.8,0.7,0.77,1
DEL18DT,2016-05-13T00:00:00.000,0.85,0.8,0.75,0.75,0.8,0.75,0.78,<1
DEL18DT,2016-05-12T00:00:00.000,0.65,0.7,0.75,0.65,0.7,0.75,0.7,<1
DEL18DT,2016-05-11T00:00:00.000,0.85,1,0.9,0.7,0.8,0.65,0.82,<1
DEL18DT,2016-05-10T00:00:00.000,0.75,0.85,0.7,0.7,0.75,0.8,0.76,<1
DEL18DT,2016-05-09T00:00:00.000,0.75,0.85,0.85,0.9,0.8,0.75,0.82,1
DEL18DT,2016-05-08T00:00:00.000,0.95,0.8,0.85,0.85,0.75,0.75,0.83,<1
DEL18DT,2016-05-07T00:00:00.000,0.85,0.95,0.95,0.85,0.8,0.9,0.88,2
DEL18DT,2016-05-06T00:00:00.000,0.85,0.75,0.8,1,0.8,0.95,0.86,<1
DEL18DT,2016-05-05T00:00:00.000,0.7,0.7,0.7,0.7,0.75,0.85,0.73,<1
DEL18DT,2016-05-04T00:00:00.000,0.7,0.75,0.65,0.75,0.75,0.75,0.73,<1
DEL18DT,2016-05-03T00:00:00.000,0.9,0.75,0.8,0.7,0.8,0.75,0.78,<1
DEL18DT,2016-05-02T00:00:00.000,0.7,0.75,0.75,0.75,0.75,0.8,0.75,<1
DEL18DT,2016-05-01T00:00:00.000,0.95,1.1,0.85,0.75,0.65,0.7,0.83,<1
DEL18DT,2016-04-30T00:00:00.000,0.6,0.7,0.7,0.75,0.8,1,0.76,<1
DEL18DT,2016-04-29T00:00:00.000,0.8,0.8,0.8,0.8,0.8,0.7,0.78,<1
DEL18DT,2016-04-28T00:00:00.000,0.8,0.85,0.85,0.8,0.75,0.8,0.81,1
DEL18DT,2016-04-27T00:00:00.000,0.8,0.75,0.8,0.75,0.75,0.85,0.78,<1
